,,,"EQY_FUND_CRNCY=USD,SCALING_FORMAT=BLN",,"SCALING_FORMAT=BLN,EQY_FUND_CRNCY=USD","SCALING_FORMAT=BLN,EQY_FUND_CRNCY=USD",,,,,,,BEST_FPERIOD_OVERRIDE=1GY,,,
CME US Equity,USD,CME GROUP INC,2.4,0.7,  69 ,  0 ,18.0,  3.71 ,  2.99 ,Financials,Capital Markets,Diversified Financials,12.0,5%,  20 ,  964 
CDNS US Equity,USD,CADENCE DESIGN SYS INC,0.5,-0.4,  13 ,  0 ,54.6,  3.66 ,  2.46 ,Information Technology,Software,Software & Services,8.0,90%,  21 ,  496 
DOV US Equity,USD,DOVER CORP,0.6,2.7,  13 ,  3 ,21.0,  0.93 ,  2.22 ,Industrials,Machinery,Capital Goods,23.0,79%,  21 ,  742 
AYI US Equity,USD,ACUITY BRANDS INC,0.3,0.4,  5 ,  0 ,33.9,  0.92 ,  7.83 ,Industrials,Electrical Equipment,Capital Goods,12.0,125%,  21 ,  672 
BLKB US Equity,USD,BLACKBAUD INC,0.2,2.8,  3 ,  0 ,62.0,  41.80 ,  3.35 ,Information Technology,Software,Software & Services,11.0,66%,  21 ,  525 
CNK US Equity,USD,CINEMARK HOLDINGS INC,0.2,2.5,  5 ,  2 ,31.9,  1.31 ,  3.36 ,Communication Services,Entertainment,Media & Entertainment,12.0,72%,  21 ,  33 
SNA US Equity,USD,SNAP-ON INC,0.6,1.0,  9 ,  1 ,38.4,  1.97 ,  1.92 ,Industrials,Machinery,Capital Goods,10.0,77%,  21 ,  657 
GPC US Equity,USD,GENUINE PARTS CO,1.0,2.0,  15 ,  3 ,25.1,  3.17 ,  3.19 ,Consumer Discretionary,Distributors,Retailing,11.0,166%,  21 ,  107 
IEX US Equity,USD,IDEX CORP,0.4,0.6,  10 ,  0 ,29.6,  2.97 ,  3.04 ,Industrials,Machinery,Capital Goods,16.0,71%,  21 ,  703 
AFL US Equity,USD,AFLAC INC,6.2,#N/A N/A,  34 ,  2 ,24.3,  5.88 ,  2.65 ,Financials,Insurance,Insurance,15.0,16%,  21 ,  987 
MMC US Equity,USD,MARSH & MCLENNAN COS,1.8,1.6,  44 ,  4 ,26.0,  2.45 ,  1.45 ,Financials,Insurance,Insurance,17.0,73%,  21 ,"  1,004 "
INTC US Equity,USD,INTEL CORP,14.4,0.2,  220 ,  9 ,40.3,  12.56 ,  3.31 ,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,44.0,54%,  21 ,  601 
ITGR US Equity,USD,INTEGER HOLDINGS CORP,0.1,3.7,  3 ,  2 ,46.3,  1.64 ,  1.45 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,5.0,53%,  21 ,  770 
ECL US Equity,USD,ECOLAB INC,1.2,2.4,  46 ,  7 ,21.9,  2.10 ,  1.87 ,Materials,Chemicals,Materials,23.0,73%,  21 ,  455 
PSB US Equity,USD,PS BUSINESS PARKS INC/CA,0.1,0.0,  4 ,  (0),25.6,  (1.20),  6.09 ,Real Estate,Equity Real Estate Investment,Real Estate,4.0,20%,  21 ,  326 
DCI US Equity,USD,DONALDSON CO INC,0.2,0.7,  7 ,  0 ,26.4,  2.18 ,  1.24 ,Industrials,Machinery,Capital Goods,8.0,138%,  21 ,  646 
TEF US Equity,EUR,TELEFONICA SA-SPON ADR,5.4,3.0,  45 ,  56 ,24.8,  1.80 ,  1.95 ,Communication Services,Diversified Telecommunication,Telecommunication Services,2.0,43%,  21 ,  3 
CF US Equity,USD,CF INDUSTRIES HOLDINGS INC,1.0,2.4,  11 ,  4 ,60.2,  0.24 ,  0.73 ,Materials,Chemicals,Materials,20.0,31%,  21 ,  450 
LH US Equity,USD,LABORATORY CRP OF AMER HLDGS,1.0,2.9,  17 ,  6 ,33.7,  4.72 ,  1.80 ,Health Care,Health Care Providers & Servic,Health Care Equipment & Servic,21.0,68%,  21 ,  859 
AZUL US Equity,BRL,AZUL SA-ADR,-0.2,1.1,  3 ,  0 ,64.3,  0.84 ,  0.63 ,Industrials,Airlines,Transportation,8.0,87%,  21 ,  643 
MSFT US Equity,USD,MICROSOFT CORP,32.0,-1.1,  829 ,  (51),41.1,  1.61 ,  0.95 ,Information Technology,Software,Software & Services,38.0,45%,  21 ,  596 
ALK US Equity,USD,ALASKA AIR GROUP INC,0.4,0.6,  8 ,  1 ,36.8,  0.31 ,  0.44 ,Industrials,Airlines,Transportation,15.0,75%,  21 ,  695 
RHT US Equity,USD,RED HAT INC,0.9,-2.7,  31 ,  (2),116.6,  2.93 ,  2.33 ,Information Technology,Software,Software & Services,27.0,67%,  21 ,  576 
VLO US Equity,USD,VALERO ENERGY CORP,2.7,0.9,  35 ,  3 ,46.1,  0.15 ,  0.17 ,Energy,"Oil, Gas & Consumable Fuels",Energy,21.0,218%,  21 ,"  1,070 "
NFG US Equity,USD,NATIONAL FUEL GAS CO,0.0,2.6,  4 ,  2 ,34.1,  2.43 ,  (26.29),Utilities,Gas Utilities,Utilities,6.0,26%,  22 ,  279 
ILMN US Equity,USD,ILLUMINA INC,0.8,-1.3,  48 ,  (1),54.1,  4.85 ,  2.81 ,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",20.0,55%,  22 ,  854 
AEO US Equity,USD,AMERICAN EAGLE OUTFITTERS,0.3,-0.7,  4 ,  (0),35.2,  1.86 ,  2.53 ,Consumer Discretionary,Specialty Retail,Retailing,17.0,225%,  22 ,  137 
AET US Equity,USD,AETNA INC,0.6,-0.2,  69 ,  4 ,17.4,  1.90 ,  1.30 ,Health Care,Health Care Providers & Servic,Health Care Equipment & Servic,18.0,107%,  22 ,  838 
T US Equity,USD,AT&T INC,19.2,3.7,  219 ,  114 ,33.3,  4.28 ,  4.28 ,Communication Services,Diversified Telecommunication,Telecommunication Services,36.0,34%,  22 ,  67 
WOR US Equity,USD,WORTHINGTON INDUSTRIES,0.2,2.6,  3 ,  1 ,33.4,  3.64 ,#VALUE!,Materials,Metals & Mining,Materials,3.0,142%,  22 ,  396 
EW US Equity,USD,EDWARDS LIFESCIENCES CORP,0.8,-0.3,  32 ,  (0),41.2,  2.86 ,  2.25 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,27.0,63%,  22 ,  883 
RGA US Equity,USD,REINSURANCE GROUP OF AMERICA,1.8,#N/A N/A,  9 ,  2 ,30.6,  1.00 ,  1.29 ,Financials,Insurance,Insurance,9.0,21%,  22 ,  944 
KMX US Equity,USD,CARMAX INC,-0.4,10.4,  11 ,  13 ,31.4,  1.50 ,  1.39 ,Consumer Discretionary,Specialty Retail,Retailing,17.0,101%,  22 ,  136 
IR US Equity,USD,INGERSOLL-RAND PLC,1.2,1.4,  25 ,  3 ,28.4,  1.26 ,  1.31 ,Industrials,Machinery,Capital Goods,23.0,85%,  22 ,  741 
SQM US Equity,USD,QUIMICA Y MINERA CHIL-SP ADR,0.4,0.5,  12 ,  0 ,36.9,  0.96 ,  1.05 ,Materials,Chemicals,Materials,15.0,54%,  22 ,  435 
BIDU US Equity,CNY,BAIDU INC - SPON ADR,3.9,-2.4,  66 ,  (9),43.5,  2.29 ,  0.61 ,Communication Services,Interactive Media & Services,Media & Entertainment,36.0,38%,  22 ,  68 
DE US Equity,USD,DEERE & CO,-1.5,0.5,  47 ,  (2),32.6,  0.57 ,  0.99 ,Industrials,Machinery,Capital Goods,25.0,55%,  22 ,  749 
CAG US Equity,USD,CONAGRA BRANDS INC,0.6,3.0,  16 ,  4 ,33.5,  1.04 ,  1.28 ,Consumer Staples,Food Products,"Food, Beverage & Tobacco",15.0,77%,  22 ,  235 
AJRD US Equity,USD,AEROJET ROCKETDYNE HOLDINGS,0.2,0.1,  3 ,  0 ,59.9,  (2.27),  2.07 ,Industrials,Aerospace & Defense,Capital Goods,4.0,83%,  22 ,  614 
WERN US Equity,USD,WERNER ENTERPRISES INC,-0.2,0.3,  2 ,  0 ,32.2,  1.14 ,  2.04 ,Industrials,Road & Rail,Transportation,20.0,125%,  22 ,  730 
AMT US Equity,USD,AMERICAN TOWER CORP,2.4,5.5,  71 ,  19 ,28.7,  4.43 ,  2.35 ,Real Estate,Equity Real Estate Investment,Real Estate,23.0,21%,  22 ,  385 
SNE US Equity,JPY,SONY CORP-SPONSORED ADR,10.1,-1.3,  66 ,  (13),35.9,  (0.95),#VALUE!,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,2.0,45%,  22 ,  74 
RTN US Equity,USD,RAYTHEON COMPANY,1.9,0.6,  52 ,  2 ,33.7,  0.86 ,  0.89 ,Industrials,Aerospace & Defense,Capital Goods,20.0,88%,  22 ,  724 
DFS US Equity,USD,DISCOVER FINANCIAL SERVICES,5.8,1.8,  24 ,  13 ,32.7,  0.77 ,  0.72 ,Financials,Consumer Finance,Diversified Financials,25.0,12%,  22 ,"  1,028 "
SWKS US Equity,USD,SKYWORKS SOLUTIONS INC,0.8,-0.6,  13 ,  (1),47.1,  0.93 ,  0.46 ,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,28.0,82%,  23 ,  578 
UTHR US Equity,USD,UNITED THERAPEUTICS CORP,0.4,-1.9,  5 ,  (1),48.6,  (0.38),  (3.59),Health Care,Biotechnology,"Pharmaceuticals, Biotechnology",13.0,54%,  23 ,  811 
FLT US Equity,USD,FLEETCOR TECHNOLOGIES INC,0.7,2.7,  18 ,  4 ,43.8,  1.16 ,  1.00 ,Information Technology,IT Services,Software & Services,13.0,21%,  23 ,  531 
PPG US Equity,USD,PPG INDUSTRIES INC,0.8,1.6,  26 ,  3 ,43.7,  1.51 ,  1.35 ,Materials,Chemicals,Materials,27.0,89%,  23 ,  459 
LANC US Equity,USD,LANCASTER COLONY CORP,0.1,-1.1,  5 ,  (0),24.4,  5.74 ,#DIV/0!,Consumer Staples,Food Products,"Food, Beverage & Tobacco",4.0,156%,  23 ,  213 
NUE US Equity,USD,NUCOR CORP,1.4,0.7,  20 ,  3 ,33.8,  (0.66),  (0.74),Materials,Metals & Mining,Materials,16.0,138%,  23 ,  444 
MAN US Equity,USD,MANPOWERGROUP INC,0.4,0.4,  5 ,  0 ,32.6,  (2.57),  1.87 ,Industrials,Professional Services,Commercial & Professional Serv,14.0,257%,  23 ,  693 
EXR US Equity,USD,EXTRA SPACE STORAGE INC,-0.2,6.1,  12 ,  4 ,20.8,  10.62 ,  7.32 ,Real Estate,Equity Real Estate Investment,Real Estate,15.0,16%,  23 ,  361 
KSU US Equity,USD,KANSAS CITY SOUTHERN,0.4,2.0,  10 ,  2 ,31.3,  0.99 ,  1.09 ,Industrials,Road & Rail,Transportation,20.0,29%,  23 ,  728 
RGNX US Equity,USD,REGENXBIO INC,0.1,-6.6,  2 ,  (0),78.3,#VALUE!,#VALUE!,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology",6.0,50%,  23 ,  773 
RIO US Equity,USD,RIO TINTO PLC-SPON ADR,7.7,0.3,  88 ,  4 ,27.6,  (1.26),  (2.91),Materials,Metals & Mining,Materials,6.0,45%,  23 ,  406 
LGND US Equity,USD,LIGAND PHARMACEUTICALS,0.2,-1.3,  3 ,  0 ,61.8,  (1.50),  1.65 ,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology",7.0,18%,  23 ,  777 
TSM US Equity,TWD,TAIWAN SEMICONDUCTOR-SP ADR,11.3,-0.7,  200 ,  (15),33.0,  1.27 ,  0.53 ,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,6.0,53%,  23 ,  480 
CAKE US Equity,USD,CHEESECAKE FACTORY INC/THE,0.1,0.0,  2 ,  0 ,29.0,  2.02 ,  2.37 ,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,22.0,181%,  23 ,  158 
TREE US Equity,USD,LENDINGTREE INC,0.1,-0.7,  3 ,  (0),89.5,  1.28 ,  0.72 ,Financials,Thrifts & Mortgage Finance,Banks,13.0,102%,  24 ,  975 
MMS US Equity,USD,MAXIMUS INC,0.2,-0.7,  4 ,  (0),20.6,  8.90 ,  4.77 ,Information Technology,IT Services,Software & Services,7.0,183%,  24 ,  486 
CNX US Equity,USD,CNX RESOURCES CORP,-0.1,#N/A N/A,  3 ,  2 ,53.6,  0.75 ,  6.16 ,Energy,"Oil, Gas & Consumable Fuels",Energy,11.0,18%,  24 ,"  1,053 "
XLNX US Equity,USD,XILINX INC,0.8,-1.7,  22 ,  (2),62.3,  2.71 ,  1.82 ,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,29.0,54%,  24 ,  580 
XEC US Equity,USD,CIMAREX ENERGY CO,-0.1,0.5,  8 ,  1 ,50.1,  0.50 ,  0.28 ,Energy,"Oil, Gas & Consumable Fuels",Energy,26.0,42%,  24 ,"  1,082 "
WWE US Equity,USD,WORLD WRESTLING ENTERTAIN-A,0.1,-0.8,  5 ,  (0),53.7,  1.39 ,  0.17 ,Communication Services,Entertainment,Media & Entertainment,12.0,135%,  24 ,  32 
GNTX US Equity,USD,GENTEX CORP,0.5,-0.5,  6 ,  (1),35.1,  2.27 ,  0.77 ,Consumer Discretionary,Auto Components,Automobiles & Components,11.0,83%,  24 ,  105 
SAM US Equity,USD,BOSTON BEER COMPANY INC-A,0.1,-0.4,  4 ,  (0),48.7,  2.77 ,  2.38 ,Consumer Staples,Beverages,"Food, Beverage & Tobacco",12.0,161%,  24 ,  228 
BIIB US Equity,USD,BIOGEN INC,5.0,0.0,  65 ,  (1),32.2,  1.48 ,  3.12 ,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology",30.0,54%,  24 ,  886 
LECO US Equity,USD,LINCOLN ELECTRIC HOLDINGS,0.2,0.5,  5 ,  0 ,34.2,  1.23 ,  1.24 ,Industrials,Machinery,Capital Goods,13.0,126%,  24 ,  684 
MKSI US Equity,USD,MKS INSTRUMENTS INC,0.3,-0.5,  4 ,  (0),42.1,  32.00 ,  0.48 ,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,7.0,86%,  24 ,  488 
INFY US Equity,INR,INFOSYS LTD-SP ADR,2.0,-1.3,  41 ,  (4),31.0,  2.29 ,  1.90 ,Information Technology,IT Services,Software & Services,16.0,89%,  24 ,  547 
FTV US Equity,USD,FORTIVE CORP,1.2,2.3,  25 ,  3 ,30.2,  1.38 ,  2.23 ,Industrials,Machinery,Capital Goods,20.0,62%,  24 ,  726 
CAT US Equity,USD,CATERPILLAR INC,2.2,0.1,  76 ,  1 ,47.5,  0.96 ,  1.03 ,Industrials,Machinery,Capital Goods,29.0,68%,  24 ,  757 
WSM US Equity,USD,WILLIAMS-SONOMA INC,0.4,0.3,  5 ,  (0),35.7,  3.77 ,  2.70 ,Consumer Discretionary,Specialty Retail,Retailing,26.0,208%,  24 ,  178 
MPW US Equity,USD,MEDICAL PROPERTIES TRUST INC,-0.9,4.6,  6 ,  5 ,27.3,  (0.31),  2.15 ,Real Estate,Equity Real Estate Investment,Real Estate,14.0,9%,  24 ,  356 
UAL US Equity,USD,UNITED CONTINENTAL HOLDINGS,2.1,1.7,  25 ,  10 ,35.6,  0.55 ,  0.36 ,Industrials,Airlines,Transportation,18.0,92%,  24 ,  715 
THO US Equity,USD,THOR INDUSTRIES INC,0.3,-0.4,  4 ,  (0),43.2,  0.61 ,  0.61 ,Consumer Discretionary,Automobiles,Automobiles & Components,11.0,312%,  24 ,  106 
BKNG US Equity,USD,BOOKING HOLDINGS INC,5.0,-1.3,  88 ,  (8),32.0,  1.42 ,  1.30 ,Consumer Discretionary,Internet & Direct Marketing Re,Retailing,37.0,56%,  24 ,  204 
CSL US Equity,USD,CARLISLE COS INC,0.1,1.2,  6 ,  1 ,41.1,  0.64 ,  0.99 ,Industrials,Industrial Conglomerates,Capital Goods,8.0,92%,  25 ,  645 
LEG US Equity,USD,LEGGETT & PLATT INC,0.3,1.6,  5 ,  1 ,43.6,  1.29 ,  1.77 ,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,7.0,122%,  25 ,  88 
HRS US Equity,USD,HARRIS CORP,0.6,2.7,  18 ,  4 ,52.4,  1.33 ,  1.28 ,Industrials,Aerospace & Defense,Capital Goods,13.0,63%,  25 ,  677 
EC US Equity,COP,ECOPETROL SA-SPONSORED ADR,5.8,1.1,  42 ,  12 ,44.3,  1.72 ,  (1.37),Energy,"Oil, Gas & Consumable Fuels",Energy,17.0,54%,  25 ,"  1,058 "
EMR US Equity,USD,EMERSON ELECTRIC CO,2.3,1.0,  43 ,  4 ,31.4,  1.26 ,  1.91 ,Industrials,Electrical Equipment,Capital Goods,26.0,87%,  25 ,  751 
TEL US Equity,USD,TE CONNECTIVITY LTD,1.5,1.0,  26 ,  3 ,29.0,  1.04 ,  1.09 ,Information Technology,"Electronic Equipment, Instrume",Technology Hardware & Equipmen,16.0,73%,  25 ,  546 
MNST US Equity,USD,MONSTER BEVERAGE CORP,0.9,-0.7,  31 ,  (1),35.3,  2.21 ,  2.46 ,Consumer Staples,Beverages,"Food, Beverage & Tobacco",19.0,77%,  25 ,  241 
DAL US Equity,USD,DELTA AIR LINES INC,2.6,1.0,  38 ,  6 ,30.6,  0.56 ,  0.70 ,Industrials,Airlines,Transportation,19.0,82%,  25 ,  721 
ROK US Equity,USD,ROCKWELL AUTOMATION INC,1.2,0.6,  21 ,  1 ,38.2,  1.92 ,  3.55 ,Industrials,Electrical Equipment,Capital Goods,24.0,99%,  25 ,  745 
BFR US Equity,ARS,BBVA BANCO FRANCES SA-ADR,-0.3,#N/A N/A,  3 ,  (2),64.1,  3.50 ,  0.27 ,Financials,Banks,Banks,8.0,21%,  25 ,  927 
TX US Equity,USD,TERNIUM SA-SPONSORED ADR,0.7,0.8,  6 ,  3 ,36.1,  (0.31),  (12.58),Materials,Metals & Mining,Materials,14.0,98%,  25 ,  431 
MSM US Equity,USD,MSC INDUSTRIAL DIRECT CO-A,0.3,1.0,  5 ,  0 ,35.4,  1.68 ,  1.31 ,Industrials,Trading Companies & Distributo,Capital Goods,17.0,146%,  25 ,  714 
FOXF US Equity,USD,FOX FACTORY HOLDING CORP,0.1,0.3,  3 ,  0 ,66.5,  2.55 ,  1.98 ,Consumer Discretionary,Auto Components,Automobiles & Components,9.0,136%,  25 ,  93 
GD US Equity,USD,GENERAL DYNAMICS CORP,2.5,2.5,  54 ,  1 ,33.8,  1.69 ,  1.13 ,Industrials,Aerospace & Defense,Capital Goods,22.0,83%,  25 ,  736 
DLTR US Equity,USD,DOLLAR TREE INC,0.8,1.7,  20 ,  5 ,31.5,  1.36 ,  1.09 ,Consumer Discretionary,Multiline Retail,Retailing,26.0,144%,  25 ,  177 
SYMC US Equity,USD,SYMANTEC CORP,1.0,3.3,  15 ,  3 ,52.3,  0.88 ,  1.54 ,Information Technology,Software,Software & Services,29.0,29%,  26 ,  581 
RYAAY US Equity,EUR,RYANAIR HOLDINGS PLC-SP ADR,0.5,0.5,  18 ,  0 ,32.6,  1.46 ,  0.77 ,Industrials,Airlines,Transportation,3.0,63%,  26 ,  606 
AMN US Equity,USD,AMN HEALTHCARE SERVICES INC,0.2,1.9,  3 ,  0 ,52.4,  2.19 ,  1.79 ,Health Care,Health Care Providers & Servic,Health Care Equipment & Servic,12.0,158%,  26 ,  808 
SEM US Equity,USD,SELECT MEDICAL HOLDINGS CORP,0.3,5.3,  3 ,  3 ,62.2,  0.77 ,  0.97 ,Health Care,Health Care Providers & Servic,Health Care Equipment & Servic,7.0,89%,  26 ,  781 
FB US Equity,USD,FACEBOOK INC-CLASS A,17.4,-1.5,  414 ,  (42),36.4,  5.26 ,  1.04 ,Communication Services,Interactive Media & Services,Media & Entertainment,52.0,61%,  26 ,  73 
PCAR US Equity,USD,PACCAR INC,0.9,-1.0,  21 ,  (4),32.4,  5.41 ,  (1.12),Industrials,Machinery,Capital Goods,26.0,94%,  26 ,  752 
REGN US Equity,USD,REGENERON PHARMACEUTICALS,1.6,-1.3,  37 ,  (2),41.4,  3.45 ,  1.15 ,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology",25.0,65%,  26 ,  874 
EL US Equity,USD,ESTEE LAUDER COMPANIES-CL A,1.7,0.6,  53 ,  1 ,34.8,  2.59 ,  2.00 ,Consumer Staples,Personal Products,Household & Personal Products,30.0,113%,  26 ,  265 
TSN US Equity,USD,TYSON FOODS INC-CL A,1.8,2.4,  23 ,  10 ,30.2,  2.01 ,  0.58 ,Consumer Staples,Food Products,"Food, Beverage & Tobacco",15.0,140%,  26 ,  234 
WRI US Equity,USD,WEINGARTEN REALTY INVESTORS,0.1,5.1,  4 ,  2 ,23.1,  (0.46),  (3.08),Real Estate,Equity Real Estate Investment,Real Estate,11.0,13%,  26 ,  343 
DVN US Equity,USD,DEVON ENERGY CORP,0.0,1.2,  14 ,  8 ,42.9,  0.19 ,  0.24 ,Energy,"Oil, Gas & Consumable Fuels",Energy,33.0,52%,  26 ,"  1,099 "
COR US Equity,USD,CORESITE REALTY CORP,0.0,3.8,  5 ,  1 ,35.7,  (79.32),  4.18 ,Real Estate,Equity Real Estate Investment,Real Estate,20.0,32%,  26 ,  376 
UNH US Equity,USD,UNITEDHEALTH GROUP INC,8.6,1.0,  255 ,  16 ,29.5,  1.34 ,  1.23 ,Health Care,Health Care Providers & Servic,Health Care Equipment & Servic,25.0,151%,  26 ,  875 
ALGN US Equity,USD,ALIGN TECHNOLOGY INC,0.2,-1.2,  18 ,  (1),87.3,  1.85 ,  1.16 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,16.0,102%,  26 ,  826 
PSA US Equity,USD,PUBLIC STORAGE,1.3,0.5,  36 ,  1 ,18.5,  (25.86),  (10.19),Real Estate,Equity Real Estate Investment,Real Estate,17.0,25%,  26 ,  363 
FOX US Equity,USD,TWENTY-FIRST CENTURY FOX - B,3.5,1.7,  89 ,  12 ,14.5,  1.68 ,  2.44 ,Communication Services,Entertainment,Media & Entertainment,5.0,57%,  26 ,  15 
FOXA US Equity,USD,TWENTY-FIRST CENTURY FOX-A,3.5,1.7,  89 ,  12 ,14.2,  1.70 ,  2.47 ,Communication Services,Entertainment,Media & Entertainment,26.0,57%,  26 ,  55 
EHC US Equity,USD,ENCOMPASS HEALTH CORP,0.5,2.8,  7 ,  3 ,28.4,  5.88 ,  2.36 ,Health Care,Health Care Providers & Servic,Health Care Equipment & Servic,13.0,83%,  26 ,  814 
COST US Equity,USD,COSTCO WHOLESALE CORP,2.8,-0.1,  101 ,  (1),23.0,  2.99 ,  2.67 ,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,30.0,367%,  27 ,  264 
VC US Equity,USD,VISTEON CORP,0.1,-0.2,  2 ,  (0),51.9,  1.98 ,  0.22 ,Consumer Discretionary,Auto Components,Automobiles & Components,17.0,143%,  27 ,  132 
ESRX US Equity,USD,EXPRESS SCRIPTS HOLDING CO,4.0,1.5,  55 ,  14 ,22.6,  2.70 ,  (0.71),Health Care,Health Care Providers & Servic,Health Care Equipment & Servic,22.0,190%,  27 ,  865 
FDX US Equity,USD,FEDEX CORP,-1.0,1.8,  60 ,  13 ,30.8,  0.72 ,  0.81 ,Industrials,Air Freight & Logistics,Transportation,31.0,133%,  27 ,  761 
HOG US Equity,USD,HARLEY-DAVIDSON INC,1.0,5.7,  7 ,  6 ,30.9,  (5.49),  1.52 ,Consumer Discretionary,Automobiles,Automobiles & Components,22.0,56%,  27 ,  155 
HSC US Equity,USD,HARSCO CORP,0.1,1.8,  2 ,  1 ,58.8,  1.21 ,  1.34 ,Industrials,Machinery,Capital Goods,3.0,104%,  27 ,  611 
HFC US Equity,USD,HOLLYFRONTIER CORP,1.0,0.6,  11 ,  2 ,49.4,  0.27 ,  (0.93),Energy,"Oil, Gas & Consumable Fuels",Energy,17.0,160%,  27 ,"  1,059 "
LAMR US Equity,USD,LAMAR ADVERTISING CO-A,0.4,3.7,  8 ,  2 ,37.8,  1.68 ,  5.47 ,Real Estate,Equity Real Estate Investment,Real Estate,6.0,39%,  27 ,  328 
ABMD US Equity,USD,ABIOMED INC,0.1,-2.0,  14 ,  (0),81.8,  2.78 ,  1.41 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,11.0,87%,  27 ,  799 
TSS US Equity,USD,TOTAL SYSTEM SERVICES INC,0.9,2.8,  16 ,  3 ,31.2,  1.81 ,  1.11 ,Information Technology,IT Services,Software & Services,26.0,63%,  27 ,  570 
ODFL US Equity,USD,OLD DOMINION FREIGHT LINE,0.3,-0.1,  11 ,  (0),38.8,  1.90 ,  2.36 ,Industrials,Road & Rail,Transportation,17.0,121%,  27 ,  713 
MPC US Equity,USD,MARATHON PETROLEUM CORP,3.1,2.0,  45 ,  10 ,39.6,  0.19 ,  0.24 ,Energy,"Oil, Gas & Consumable Fuels",Energy,19.0,167%,  27 ,"  1,064 "
VRTX US Equity,USD,VERTEX PHARMACEUTICALS INC,1.1,-4.3,  43 ,  (2),43.6,  4.41 ,  0.51 ,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology",25.0,72%,  28 ,  873 
NEE US Equity,USD,NEXTERA ENERGY INC,-5.2,5.1,  86 ,  33 ,19.2,  2.68 ,  2.66 ,Utilities,Electric Utilities,Utilities,20.0,17%,  28 ,  319 
TGT US Equity,USD,TARGET CORP,3.5,1.5,  43 ,  9 ,25.8,  4.09 ,  7.27 ,Consumer Discretionary,Multiline Retail,Retailing,27.0,191%,  28 ,  181 
CTAS US Equity,USD,CINTAS CORP,0.6,1.9,  19 ,  2 ,32.2,  1.75 ,  1.95 ,Industrials,Commercial Services & Supplies,Commercial & Professional Serv,15.0,93%,  28 ,  698 
AMZN US Equity,USD,AMAZON.COM INC,13.3,0.6,  792 ,  13 ,60.5,  1.44 ,  0.99 ,Consumer Discretionary,Internet & Direct Marketing Re,Retailing,50.0,171%,  28 ,  209 
MTZ US Equity,USD,MASTEC INC,-0.2,2.8,  4 ,  1 ,45.5,  0.90 ,  1.25 ,Industrials,Construction & Engineering,Capital Goods,13.0,148%,  28 ,  682 
DIS US Equity,USD,WALT DISNEY CO/THE,9.8,0.9,  174 ,  17 ,26.8,  4.07 ,  1.76 ,Communication Services,Entertainment,Media & Entertainment,25.0,61%,  28 ,  54 
BBY US Equity,USD,BEST BUY CO INC,1.8,-0.6,  19 ,  (2),37.1,  1.68 ,  2.55 ,Consumer Discretionary,Specialty Retail,Retailing,25.0,339%,  28 ,  172 
EMN US Equity,USD,EASTMAN CHEMICAL CO,0.9,2.8,  12 ,  6 ,34.3,  1.09 ,  0.75 ,Materials,Chemicals,Materials,18.0,63%,  28 ,  447 
PGR US Equity,USD,PROGRESSIVE CORP,5.5,#N/A N/A,  39 ,  3 ,45.3,  14.60 ,  2.32 ,Financials,Insurance,Insurance,21.0,73%,  28 ,"  1,016 "
ADBE US Equity,USD,ADOBE INC,3.5,-1.0,  117 ,  (4),56.2,  1.75 ,  1.26 ,Information Technology,Software,Software & Services,32.0,59%,  28 ,  588 
FIVE US Equity,USD,FIVE BELOW,0.1,-1.3,  7 ,  (0),39.6,  2.16 ,  1.32 ,Consumer Discretionary,Specialty Retail,Retailing,19.0,211%,  28 ,  147 
AVY US Equity,USD,AVERY DENNISON CORP,0.2,1.9,  8 ,  1 ,28.9,  1.47 ,  1.21 ,Materials,Containers & Packaging,Materials,12.0,136%,  28 ,  421 
GPS US Equity,USD,GAP INC/THE,0.7,-0.2,  10 ,  (1),33.2,  2.38 ,  (10.59),Consumer Discretionary,Specialty Retail,Retailing,28.0,211%,  28 ,  185 
BMA US Equity,ARS,BANCO MACRO SA-ADR,0.4,#N/A N/A,  3 ,  (1),67.8,  0.41 ,  0.67 ,Financials,Banks,Banks,14.0,25%,  29 ,  981 
